label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
3	886 m^3	0.3359	Irvine	Long Beach, Chula Vista, San Bernardino, Moreno Valley	Vani	1.0746	777	620	225 N	Chris	135
5	519 m^3	0.5169	Irvine	San Francisco	Sam	0.3531	208	807	325 N	Eriq	514
3	634 m^3	0.4204	Fremont	Oakland, Moreno Valley, Chula Vista	Vani	0.8987	463	140	527 N	Chris	-82
2	810 m^3	0.7928	Fresno	Irvine	Reilly	0.6957	118	307	839 N	Lise	913
3	629 m^3	0.2969	Irvine	Chula Vista, Oakland	Sam	0.7463	714	454	345 N	Chris	431
2	757 m^3	0.7884	Los Angeles	Sacramento, Santa Ana	Reilly	0.5599	388	73	783 N	Lise	1084
0	1043 m^3	0.6169	San Diego	Stockton	Michael	0.6601	677	-136	744 N	Vani	76
4	55 m^3	0.6548	San Jose	Bakersfield, Anaheim, Santa Clarita, Modesto	Lise	0.2624	114	750	272 N	Tony	852
1	-38 m^3	0.1824	Bakersfield	Anaheim, Bakersfield, San Diego, Santa Clarita	Andrew	0.9531	789	659	232 N	Inan	401
2	753 m^3	1.0624	Santa Ana	Sacramento	Sam	0.6767	171	53	816 N	Lise	960
4	488 m^3	0.8209	San Jose	Riverside	Lise	0.0881	827	771	365 N	Michael	739
2	666 m^3	0.7659	Santa Ana	Sacramento	Fabrice	0.4165	221	404	1037 N	Lise	1034
3	753 m^3	0.4633	Fremont	Long Beach, Moreno Valley	Vani	1.1581	611	405	479 N	Chris	208
3	295 m^3	0.3606	Fremont	Chula Vista, Oakland, San Bernardino	Vani	0.7903	879	256	525 N	Chris	552
0	1203 m^3	0.5472	Anaheim	Stockton, San Jose	Michael	0.5436	684	423	625 N	Vani	115
3	471 m^3	0.1995	Fremont	Long Beach	Vani	0.7452	590	539	618 N	Lise	475
0	835 m^3	0.3386	Anaheim	Stockton	Eriq	0.3375	641	242	854 N	Vani	-7
5	555 m^3	0.43	Riverside	San Francisco	Sam	0.3918	111	1216	240 N	Eriq	641
3	533 m^3	0.218	Irvine	Chula Vista, Oakland, Long Beach	Vani	0.7764	810	372	519 N	Chris	143
1	-12 m^3	0.0073	San Diego	Bakersfield	Inan	0.9091	892	490	176 N	iNAN	374
3	515 m^3	0.3251	Fremont	Los Angeles	Vani	0.708	1016	470	653 N	Chris	216
0	997 m^3	0.6175	San Diego	Bakersfield	Eriq	0.609	494	164	748 N	Reilly	180
1	-164 m^3	0.1215	Chula Vista	Modesto	Inan	0.8679	751	237	351 N	Sam	n/a
0	987 m^3	0.6623	Anaheim	San Jose	Michael	0.7176	463	273	976 N	Andrew	-25
1	41 m^3	-0.0048	Long Beach	Bakersfield, Modesto, Santa Clarita, San Diego	Andrew	0.7661	733	914	637 N	Sam	511
2	1070 m^3	0.7937	Santa Clarita	Santa Ana	Reilly	0.552	124	119	911 N	Lise	864
5	552 m^3	0.6248	San Francisco	San Francisco	Sam	0.2713	-28	918	274 N	Eriq	578
1	84 m^3	-0.0368	Long Beach	Bakersfield, Anaheim, Santa Clarita, Modesto	Inan		1022	382	70 N	Sam	420
3	670 m^3	0.1035	Irvine	San Bernardino	Vani	0.9416	937	269	n/a	Chris	241
5		0.3198	Moreno Valley	San Francisco	Sam	0.4352	207	1021	547 N	Eriq	607
4	293 m^3	0.6917	San Jose	Santa Ana, Sacramento	Chris	0.1865	716	872	279 N	Tony	944
0	828 m^3	0.4595	Sacramento	San Jose, Stockton	Michael	0.6124	531	241	804 N	Fabrice	179
4	377 m^3	0.674	San Jose	Los Angeles	Lise	-0.1309	402	838	97 N	Tony	790
1	187 m^3	-0.1337	Bakersfield	Bakersfield	Andrew	0.7611	686	574	57 N	Inan	461
2	714 m^3	1.0082	Modesto	Santa Ana	Reilly	0.3435	176		821 N	Lise	848
2	940 m^3	0.8606	Santa Ana	Irvine, Santa Ana, Sacramento	Reilly	0.4893	284	89	719 N	Lise	991
1	117 m^3	-0.082	Bakersfield	San Diego, Bakersfield, Santa Clarita, Modesto	Andrew	0.7295	1026	849	268 N	Sam	?
1	-80 m^3	-0.0137	Bakersfield	Anaheim	Inan	0.86	1053	344	236 N	Sam	374
5	670 m^3	0.2991	Moreno Valley	San Francisco	Sam	0.3834	-26	921	267 N	Eriq	561
3	577 m^3	0.3636	Fremont	Moreno Valley, San Bernardino, Oakland, Long Beach	Vani	0.8511	775	411	255 N	Chris	-10
4	181 m^3	0.8208	San Jose	Riverside	Chris	0.1358	535	766	164 N	Tony	676
4	322 m^3	0.9336	Fresno	Riverside	Tony	-0.0038	336	846	-139 N	Tony	879
0	1092 m^3	0.5128	Stockton	Stockton, Fresno	Eriq	0.4567	396	-79	881 N	Andrew	330
1	-113 m^3	-0.0662	Chula Vista	San Francisco	Andrew	0.6842	786	671	259 N	Inan	471
1	14 m^3	-0.0233	CHULA VISTA	San Diego	Sam	0.878	981	699	59 N	Sam	286
2	807 m^3	0.6662	Santa Clarita	Irvine	Reilly	0.6523	307	-160	790 N	Lise	895
4	222 m^3	0.9137	San Bernardino	Los Angeles	Lise	0.2645	289	722	-67 N	Tony	874
5	504 m^3	0.3644	Riverside	Riverside	SAM	0.2415	-69	806	336 N	Eriq	662
5	852 m^3	0.2288	San Diego	San Francisco	Sam	0.3929	21	896	241 N	Eriq	514
5	647 m^3	0.3992	rIVERSIDE	San Francisco	Sam	0.2176	-181	965	343 N	Eriq	637
1	-79 m^3	0.1981	Long Beach	Bakersfield, Modesto	Inan	0.7167	799	668	326 N	Sam	498
1	-141 m^3	-0.117	Chula Vista	Santa Clarita, Anaheim, San Diego	Inan	0.8295	937	626	344 N	Inan	563
3	531 m^3	0.2634	San Francisco	Oakland, Moreno Valley, Long Beach, San Bernardino	Vani	1.166	833	259	571 N	Chris	351
4	212 m^3	0.6845	San Bernardino	Irvine	Tony	0.0956	752	656	224 N	Tony	743
1	-3 m^3	0.1077	Chula Vista	Modesto, Santa Clarita, Bakersfield, Anaheim	Fabrice	0.7561	1012	450	243 N	Sam	464
3	523 m^3	0.1024	Fremont	Moreno Valley, Chula Vista, San Bernardino	Vani	0.9164	836	629	531 N	Chris	308
1	148 m^3	-0.1605	Chula Vista	San Diego, Modesto, Anaheim, Santa Clarita	Andrew	0.6912	849	373	181 N	Inan	217
3	407 m^3	0.2997	Irvine	Chula Vista, Long Beach, Moreno Valley	Vani	0.8319	955	440	710 N	Chris	120
4	421 m^3	0.9451	San Bernardino	Los Angeles	cHRIS	0.1621	620	768	174 N	Michael	974
0	1063 m^3	0.3883	Anaheim	Stockton	Eriq	0.4319	376	167	733 N	Fabrice	141
4	218 m^3	0.652	San Jose	Los Angeles	Lise	0.2807	799	855	66 N	Michael	765
5	439 m^3	0.3955	Riverside	San Francisco	Sam	0.5215	90	968	616 N	Eriq	451
0	1011 m^3	0.6613	Stockton	Stockton	Eriq	0.1154	602	-19	751 N	Reilly	171
1	163 m^3	0.0751	Long Beach	Modesto, Santa Clarita, Bakersfield, Anaheim	Andrew	0.6541	968	783	401 N	Inan	411
1	-197 m^3	0.0295	Bakersfield	Anaheim, Santa Clarita	Inan	0.6871	913	859	313 N	Inan	325
2	757 m^3	1.0823	Santa Ana	Sacramento	Fabrice	0.4349	530	-78	878 N	Lise	942
5	520 m^3	0.3539	Riverside	San Francisco	Sam	0.2995	-55	1005	372 N	Eriq	238
5	410 m^3	0.8259	Bakersfield	San Francisco	Sam	0.3592	385	1054	392 N	Eriq	478
0	1092 m^3	N/A	Anaheim	Fresno	Eriq	0.136	474	234	568 N	Reilly	-72
4	-15 m^3	0.8266	Fresno	Los Angeles	Chris	-0.1661	640	912	132 N	Michael	785
2	958 m^3	0.8494	Santa Ana	Fremont, Santa Ana	Reilly	0.6147	119	-54	856 N	Lise	864
3	591 m^3	0.5116	Fremont	San Bernardino, Oakland, Chula Vista	Vani	1.0238	727	542	438 N	Chris	87
3	751 m^3	0.1752	Fremont	Irvine, Santa Ana, Fremont	Vani	1.0579	645	NULL	312 N	Chris	43
5	516 m^3	0.2702	Oakland	San Francisco	Fabrice	0.5415	98	980	548 N	Eriq	458
5	336 m^3	0.3631	Riverside	San Francisco	sAM	0.1861	-76	712	389 N	Eriq	714
5	345 m^3	0.4277	San Francisco	San Francisco	SAM	0.5124	345	813	472 N	Eriq	404
1	-139 m^3	-0.0217	Chula Vista	Anaheim, Bakersfield, San Diego, Modesto	Vani	0.5964	874	628	324 N	Sam	465
1	-269 m^3	0.073	Chula Vista	Bakersfield	Inan	0.7076	888	597	195 N	Sam	418
1	-15 m^3	0.0235	Long Beach	Santa Clarita	Inan	0.7186	1214	424	270 N	Chris	507
4	516 m^3	0.6227	Fresno	Los Angeles	Chris	0.0369	468	921	202 N	Tony	845
3	709 m^3	0.1381	Irvine	Oakland, Moreno Valley	N/A	0.976	551	104	324 N	Chris	108
2	922 m^3	0.8471	Santa Clarita	Fremont	Fabrice	0.5661	464	86	1046 N	Lise	865
3	534 m^3	0.5841	Irvine	Chula Vista, Long Beach, Oakland	Vani	1.0213	959	362	665 N	Chris	303
3	570 m^3	0.2768	Irvine	Chula Vista	Vani	1.3008	843	547	524 N	Chris	209
0	795 m^3	0.645	San Diego	Fresno	eRIQ	0.5228	739	150	788 N	Reilly	146
0	843 m^3	0.6623	Anaheim	San Jose, Stockton	Eriq	0.6049	631	273	949 N	Fabrice	14
2	864 m^3	0.6007	Irvine	Santa Ana, Sacramento	Fabrice	0.7043	299	285	903 N	Lise	1013
4	279 m^3	0.7294	San Bernardino	Riverside	Lise	0.2779	439	870	368 N	Tony	918
4	257 m^3	0.6676	San Jose	Los Angeles	Lise	0.1776	505	784	295 N	Tony	833
5	574 m^3	0.4454	Moreno Valley	San Francisco	Sam	-0.0363	209	827	460 N	eriq	582
5	483 m^3	0.4688	Moreno Valley	San Francisco	Sam	0.307	337	823	589 N	Eriq	639
1	356 m^3	0.0913	Long Beach	Modesto	Andrew	0.5893	1005	636	266 N	Inan	529
1	255 m^3	-0.0127	Long Beach	Anaheim, Modesto	Inan	0.8178	985	732	216 N	Inan	461
0	896 m^3	0.6541	San Diego	Fresno	Eriq	0.6606	444	209	1005 N	Reilly	208
5	518 m^3	0.3902	Oakland	san francisco	Sam	0.047	188	1079	339 N	Eriq	505
5	365 m^3	0.4122	Oakland	San Francisco	Sam	0.4823	396	626	285 N	Eriq	515
1	5 m^3	-0.1883	mODESTO	Anaheim	Andrew	0.814	1227	463	416 N	Sam	347
3	518 m^3	0.2118	Irvine	Oakland, Chula Vista, Moreno Valley, San Bernardino	Vani	0.695	665	368	574 N	Chris	386
3	553 m^3	0.2399	Fremont	San Bernardino, Moreno Valley, Long Beach, Oakland	Vani	0.953	947	362	582 N	Chris	264
2	907 m^3	0.9344	Modesto	Fremont, Sacramento, Irvine	Fabrice	0.709	213	-18	858 N	Lise	1027
0	1004 m^3	0.656	Anaheim	Fresno, San Jose	Michael	0.4074	508	178	778 N	Vani	293
3	575 m^3	0.273	Fremont	Moreno Valley	Vani	0.8716	525	351	642 N	Chris	64
1	-32 m^3	-0.1183	Long Beach	Bakersfield, Santa Clarita, San Diego	Andrew	0.8352	872	654	164 N	Inan	393
0	954 m^3	0.4894	San Diego	San Jose	Michael	0.5074	273	-57	718 N	Vani	226
1	78 m^3	0.0932	Bakersfield	Los Angeles	Andrew	0.7345	887	576	162 N	Sam	409
5	453 m^3	0.3099	sAN fRANCISCO	San Francisco	Sam	0.2282	-296	741	384 N	ERIQ	436
3	818 m^3	0.2934	Fremont	Moreno Valley, San Bernardino	Vani	0.9896	688	436	471 N	Chris	201
2	844 m^3	0.9329	Modesto	Santa Ana, Sacramento	Reilly	0.632	289	88	N/A	Lise	1083
1	116 m^3	-0.0193	Long Beach	Modesto, San Diego, Santa Clarita	Inan	0.8282	830	595	267 N	Inan	363
4	430 m^3	0.7711	San Bernardino	Riverside	Lise	0.0995	335	715	NULL	Michael	823
5	264 m^3	0.1561	San Francisco	San Francisco	Sam	0.2525	335	891	490 N	eRIQ	375
5	528 m^3	0.2695	Oakland	sAN fRANCISCO	Sam	0.2747	312	813	389 N	Eriq	656
0	961 m^3	0.5357	Sacramento	Stockton	Eriq	0.4789	597	307	470 N	Reilly	22
3	605 m^3	0.3482	n/a	San Bernardino, Oakland, Chula Vista	Vani	0.769	808	148	513 N	Chris	267
4	46 m^3	0.6862	Fresno	Los Angeles	Lise	0.3935	571	760	95 N	Tony	674
3	549 m^3	0.5457	irvine	Oakland	Vani	1.0719	768	362	420 N	Chris	303
5	644 m^3	0.2448	Oakland	San Francisco	Sam	0.2416	137	1101	251 N	Eriq	735
4	660 m^3	0.7248	San Bernardino	Riverside	Lise	0.1361	360	598	393 N	Michael	885
5	464 m^3	0.4191	Oakland	San Francisco	Sam	0.1216	115	1029	371 N	Eriq	593
2	739 m^3	0.8061	Modesto	Santa Ana, Irvine, Fremont	Fabrice	0.4622	347	-231	811 N	Lise	958
2	574 m^3	0.8656	Los Angeles	Sacramento, Fremont, Irvine	Fabrice	0.7095	82	168	798 N	Lise	890
4	203 m^3	0.7584	fresno	Los Angeles	Lise	0.4423	445	579	13 N	Sam	853
2	1150 m^3	0.9277	Modesto	Sacramento, Irvine	Reilly	0.4667	362	31	852 N	Lise	904
4	133 m^3	0.7603	San Jose	Riverside	Fabrice	0.4058	397	1013	275 N	Michael	716
2	741 m^3	1.0497	Santa Ana	Santa Ana, Fremont, Irvine	Fabrice	0.5859	155	63	645 N	Lise	891
3	621 m^3	0.2721	Irvine	Chula Vista, San Bernardino, Moreno Valley, Oakland	Vani	0.9105	844	575	542 N	Chris	175
4	256 m^3	0.8454	Fresno	Los Angeles	Tony	0.0199	788	702	100 N	Michael	713
3	357 m^3	0.1218	Irvine	Chula Vista	Vani	1.2715	745	429	503 N	Chris	129
4	419 m^3	1.0868	sAN bERNARDINO	Riverside	Chris	0.0282	491	586	0 N	Tony	693
3	620 m^3	0.1305	Fremont	Long Beach	Vani	0.9547	644	369	635 N	Chris	88
1	-181 m^3	-0.1006	Chula Vista	Bakersfield, Santa Clarita, Anaheim	Inan	0.534	966	630	197 N	Inan	390
2	711 m^3	0.8968	Santa Ana	Irvine, Sacramento	Reilly	0.1596	195	-113	760 N	Lise	911
0	910 m^3	0.499	San Diego	Fresno, Stockton	Michael	0.413	644	-26	833 N	Reilly	27
3	579 m^3	0.4567	Irvine	chula vista	Vani	0.7641	888	346	860 N	Chris	229
0	863 m^3	0.5087	Sacramento	Stockton	Eriq	0.4736	571	342	801 N	Andrew	242
3	557 m^3	0.3622	Irvine	Long Beach	Vani	0.8752	987	399	656 N	Chris	95
1	320 m^3	-0.1019	Chula Vista	Modesto, Santa Clarita, Bakersfield	Andrew	0.8468	955	478	404 N	Sam	284
0	1076 m^3	0.4208	Anaheim	Stockton, San Jose	Michael	0.6832	341	234	1038 N	Reilly	94
0	959 m^3	0.6844	Anaheim	Fresno	Eriq	0.5735	792	46	561 N	Fabrice	276
0	942 m^3	0.4586	San Diego	Fresno, Stockton	Eriq	0.5199	414	173	540 N	Vani	292
2	595 m^3	0.7533	Sacramento	Sacramento, Irvine	Reilly	0.675	12	-102	898 N	Lise	1064
4	208 m^3	0.8371	San Jose	Riverside	Lise	0.2331	252	740	75 N	Michael	989
1	-2 m^3	0.0327	Chula Vista	Santa Clarita, San Diego, Bakersfield	Inan	0.9943	1182	398	375 N	Sam	477
2	869 m^3	0.8835	Anaheim	Irvine, Sacramento, Santa Ana	Andrew	0.3532	371	42	610 N	Lise	1080
5	309 m^3	0.4166	Oakland	San Francisco	Sam	0.4697	-191	802	349 N	Eriq	646
3	808 m^3	0.2412	Irvine	Riverside	Vani	1.0702	412	469	646 N	Chris	205
0	981 m^3	0.7295	Anaheim	Stockton, San Jose	Eriq	0.2986	461	334	927 N	Fabrice	103
1	157 m^3	-0.0968	bakersfield	San Diego, Santa Clarita, Bakersfield	Inan	0.5977	1013	516	130 N	Inan	306
1	104 m^3	0.0964	Long Beach	San Diego, Modesto, Anaheim, Santa Clarita	Andrew	0.7731	938	343	233 N	iNAN	303
3	547 m^3	0.25	Irvine	Modesto, Bakersfield	Vani	0.7604	893	485	254 N	Chris	395
1	27 m^3	-0.0405	Bakersfield	Modesto, Anaheim, Santa Clarita, San Diego	Inan	0.643	1174	585	-44 N	Sam	144
3	562 m^3	0.3111	Fremont	San Bernardino	Vani	0.9179	831	277	574 N	Chris	426
3	527 m^3	0.4117	Fremont	Oakland, Chula Vista, Moreno Valley, San Bernardino	Vani	1.0113	954	679	667 N	Chris	289
2	1059 m^3	1.0279	Modesto	Irvine	Reilly	0.6576	22	109	1023 N	Lise	957
4	281 m^3	0.5515	San Bernardino	Bakersfield	Lise	NULL	701	654	72 N	Tony	900
0	1076 m^3	0.5424	Anaheim	Fresno, San Jose	Michael	0.6259	689	303	588 N	Andrew	73
4	131 m^3	0.8018	Fresno	Los Angeles	Tony	0.04	688	582	-24 N	Tony	821
2	799 m^3	0.791	Modesto	Sacramento, Fremont, Irvine	Reilly	0.6284	148	234	962 N	Michael	909
1	118 m^3	-0.1522	Long Beach	Santa Clarita, San Diego, Bakersfield	Andrew	0.5424	1049	452	281 N	Inan	370
4	272 m^3	0.9014	Fresno	Riverside	Tony	0.0504	558	870	124 N	Michael	909
3	606 m^3	0.3683	Irvine	Oakland, Long Beach	Vani		699	458	487 N	Chris	192
5	172 m^3	0.368	San Francisco	San Francisco	Sam	0.3489	295	980	278 N	Eriq	530
2	771 m^3	0.9185	Santa Ana	Fremont, Irvine, Sacramento	Reilly	0.4028	282	-49	718 N	Lise	891
0	869 m^3	0.7025	Sacramento	Sacramento, Fremont, Irvine	Eriq	0.273	663	-84	811 N	Reilly	62
0	864 m^3	0.5385	SAN DIEGO	Fresno	Eriq	0.3899	527	165	736 N	Reilly	1
3	543 m^3	0.2427	Irvine	Chula Vista, San Bernardino, Oakland	Vani	0.6066	740	697	542 N	Chris	305
5	549 m^3	0.3633	Moreno Valley	San Francisco	Sam	0.4356	175	937	515 N	Eriq	423
2	925 m^3	0.9644	Santa Clarita	Fremont, Irvine, Santa Ana	Fabrice	0.4985	467	-93	1067 N	Lise	1036
1	149 m^3	0.0044	Long Beach	San Diego, Bakersfield	Andrew	0.6232	870	483	293 N	Sam	546
1	-141 m^3	-0.0555	Chula Vista	Riverside	Inan	0.7737	797	635	580 N	iNAN	487
5	503 m^3	0.1558	Riverside	San Diego	Sam	0.6433	252	730	788 N	Eriq	584
2	864 m^3	0.9542	Modesto	Irvine, Sacramento, Fremont	Reilly	0.7301	266	422	1051 N	Lise	800
2	1015 m^3	0.7543	Santa Ana	Irvine, Santa Ana	Reilly	0.5665	259	88	848 N	Lise	1062
0	1132 m^3	0.5117	Stockton	San Jose, Stockton	Eriq	0.6913	582	90	872 N	Reilly	90
1	-112 m^3	0.211	Bakersfield	Modesto, Anaheim	iNAN	0.728	1139	656	415 N	Inan	619
4	316 m^3	0.6942	Fresno	Long Beach	Lise	0.1448	513	768	102 N	Tony	812
5	247 m^3	0.4408	Moreno Valley	San Francisco	Sam	0.6223	130	1185	491 N	Eriq	425
2	931 m^3	0.8236	Santa Clarita	Santa Ana, Fremont, Irvine	Reilly	0.477	336	4	835 N	Lise	865
2	NULL	0.9068	Los Angeles	Irvine	Reilly	0.5178	328	143	1065 N	Lise	885
0	1085 m^3	0.5399	Sacramento	Stockton, Fresno	Eriq	0.2707	635	251	842 N	Reilly	385
0	1058 m^3	0.7089	Stockton	Stockton, San Jose	Eriq	0.2127	334	303	597 N	Andrew	138
4	243 m^3	0.5938	San Jose	Moreno Valley, Long Beach, Chula Vista	Lise	0.1932	641	884	69 N	Michael	834
3	686 m^3	0.3234	Fremont	sAN bERNARDINO, mORENO vALLEY, lONG bEACH	Tony	1.0964	722	308	328 N	Chris	234
3	691 m^3	0.21	Irvine	San Jose	Vani	1.0984	650	492	622 N	Chris	318
3	694 m^3	0.3145	Fremont	long beach, chula vista	Vani	0.7658	606	746	482 N	Chris	116
1	-151 m^3	-0.1111	Long Beach	n/a	Andrew	1.0431	883	648	275 N	Inan	551
0	890 m^3	0.8302	Riverside	Stockton	Eriq	0.4712	297	228	668 N	Reilly	203
2	909 m^3	0.9074	Santa Ana	Anaheim, Santa Clarita, San Diego	Reilly	0.6051	401	124	971 N	Lise	1254
4	498 m^3	0.6207	San Bernardino	Los Angeles	Chris	0.4158	254	777	-44 N	Tony	830
2	885 m^3	0.938	Santa Clarita	Santa Ana, Sacramento, Irvine	Reilly	0.3617	148	41	945 N	Lise	864
3	462 m^3	0.2717	Fremont	Long Beach, Oakland, San Bernardino	Vani	0.9502	618	521	861 N	Chris	126
2	713 m^3	0.9293	Santa Clarita	Irvine, Fremont	Reilly	0.5287	224	-161	897 N	Lise	1039
4	382 m^3	0.6056	San Bernardino	Riverside	Sam	0.0885	626	819	-68 N	Tony	925
4	129 m^3	0.7184	San Jose	Riverside	Tony	0.4976	534	796	58 N	Michael	790
5	204 m^3	0.4579	Moreno Valley	San Francisco	Sam	0.4546	475	1132	470 N	Eriq	418
1	124 m^3	0.0573	Long Beach	Irvine	Andrew	0.5715	1080	713	315 N	Reilly	620
2	899 m^3	0.6839	Modesto	Santa Ana, Irvine, Sacramento	Michael	0.4684	216	-129	1040 N	Lise	982
2	821 m^3	0.9029	Los Angeles	Irvine, Fremont	Reilly	0.7016	253	84	772 N	Lise	852
3	457 m^3	0.4518	Irvine	Chula Vista, San Bernardino, Long Beach, Oakland	Vani	1.103	848	733	500 N	Chris	294
4	135 m^3	0.6682	San Jose	Los Angeles	Lise	-0.0222	874	827	109 N	Michael	931
1	-174 m^3	-0.0808	Long Beach	Modesto	Inan	0.5911	641	609	228 N	Inan	542
3	540 m^3	0.5117	fremont	Stockton, San Jose	Vani	0.8799	632	560	357 N	Chris	238
3	930 m^3	0.6376	Fremont	Chula Vista	Vani	1.0272	1092	251	765 N	Chris	166
2	635 m^3	0.6778	Santa Clarita	Fremont	Reilly	0.8141	260	-38	745 N	Lise	724
0	832 m^3	0.569	Anaheim	San Jose, Fresno	Tony	0.6283	336	199	776 N	Vani	86
0	1080 m^3	0.3298	Anaheim	Fresno, San Jose	Eriq	0.4255	607	185	555 N	Fabrice	286
4	314 m^3	0.8576	Fresno	Los Angeles	Lise	0.0473	N/A	826	24 N	Michael	861
0	1151 m^3	0.6776	Anaheim	Fresno	Michael	0.5279	368	214	588 N	Fabrice	65
1	32 m^3	-0.0095	Long Beach	Long Beach, San Bernardino, Moreno Valley	Andrew	0.6384	1228	463	68 N	Sam	353
4	-18 m^3	0.678	San Bernardino	Los Angeles	Tony	0.056	775	794	161 N	Michael	1069
5	654 m^3	0.5489	Moreno Valley	San Francisco	Sam	0.4782	262	1042	489 N	Eriq	594
3	781 m^3	0.3757	Bakersfield	Long Beach	Vani	0.8849	882	267	642 N	Chris	167
2	799 m^3	0.8638	Los Angeles	Santa Ana, Sacramento	Reilly	0.8637	20	-116	986 N	Lise	839
5	353 m^3	0.405	Oakland	San Francisco	Sam	0.5633	99	1099	572 N	Eriq	493
2	841 m^3	0.9797	Los Angeles	Fremont	Fabrice	0.8534	492	-28	721 N	Michael	925
3	557 m^3	0.2708	Irvine	Chula Vista	Vani	0.9318	731	386	456 N	Chris	149
4	201 m^3	0.4614	Fresno	Los Angeles	TONY	0.0825	651	824	180 N	Tony	815
0	1177 m^3	0.7175	San Diego	Fresno, San Jose	Michael	0.524	761	274	753 N	Fabrice	76
1	99 m^3	0.0402	Bakersfield	Anaheim	Andrew	0.591	1000	517	209 N	Sam	308
4	151 m^3	0.7198	San Jose	Los Angeles	Lise	0.1439	507	691	218 N	Michael	791
3	576 m^3	0.3317	Irvine	Long Beach	Vani	0.8887	916	503	644 N	Chris	134
2	1032 m^3	0.8613	Modesto	Fremont, Sacramento	Michael	0.5667	377	-88	939 N	Lise	875
2	714 m^3	1.0202	Santa Ana	Long Beach	Fabrice	0.7927	303	103	786 N	Lise	919
5	515 m^3	0.3025	San Francisco	San Francisco	Sam	0.1352	382	959	259 N	Eriq	NULL
5	422 m^3	0.3137	San Francisco	San Francisco	Sam	0.3095	19	993	458 N	Eriq	542
2	890 m^3	0.6236	Modesto	Santa Ana, Irvine	Fabrice	0.6666	369	-137	978 N	Lise	971
1	-84 m^3	-0.0319	Long Beach	Bakersfield	Andrew	0.749	923	736	252 N	Inan	456
2	805 m^3	0.6421	Bakersfield	Fremont	Fabrice	0.6339	409	-28	718 N	Lise	1095
5	686 m^3	0.2906	Riverside	San Francisco	Sam	0.1859	-94	1045	495 N	Eriq	412
